/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [0][0/1445]	Time 1.357 (1.357)	Data 0.189 (0.189)	Loss 1.0364 (1.0364)	
Epoch: [0][30/1445]	Time 0.147 (0.187)	Data 0.003 (0.010)	Loss 29.5852 (7.8994)	
Epoch: [0][60/1445]	Time 0.145 (0.168)	Data 0.004 (0.007)	Loss 1.4974 (8.3150)	
Epoch: [0][90/1445]	Time 0.149 (0.162)	Data 0.003 (0.006)	Loss 8.5070 (6.3319)	
Epoch: [0][120/1445]	Time 0.162 (0.161)	Data 0.003 (0.005)	Loss 1.9783 (5.9700)	
Epoch: [0][150/1445]	Time 0.309 (0.173)	Data 0.004 (0.005)	Loss 11.1957 (5.4032)	
Epoch: [0][180/1445]	Time 0.320 (0.196)	Data 0.004 (0.005)	Loss 0.8814 (5.0928)	
Epoch: [0][210/1445]	Time 0.318 (0.214)	Data 0.004 (0.004)	Loss 1.4872 (4.9357)	
Epoch: [0][240/1445]	Time 0.316 (0.227)	Data 0.004 (0.004)	Loss 1.7362 (4.9940)	
Epoch: [0][270/1445]	Time 0.318 (0.237)	Data 0.004 (0.004)	Loss 1.3196 (4.8614)	
Epoch: [0][300/1445]	Time 0.322 (0.245)	Data 0.003 (0.004)	Loss 2.2120 (5.0916)	
Epoch: [0][330/1445]	Time 0.317 (0.252)	Data 0.003 (0.004)	Loss 1.2700 (5.2977)	
Epoch: [0][360/1445]	Time 0.321 (0.258)	Data 0.003 (0.004)	Loss 1.2851 (5.2103)	
Epoch: [0][390/1445]	Time 0.323 (0.262)	Data 0.004 (0.004)	Loss 1.1112 (5.0018)	
Epoch: [0][420/1445]	Time 0.320 (0.267)	Data 0.006 (0.004)	Loss 2.0975 (4.9363)	
Epoch: [0][450/1445]	Time 0.326 (0.270)	Data 0.006 (0.004)	Loss 6.0053 (4.7888)	
Epoch: [0][480/1445]	Time 0.319 (0.273)	Data 0.004 (0.004)	Loss 1.7291 (4.6829)	
Epoch: [0][510/1445]	Time 0.319 (0.276)	Data 0.003 (0.004)	Loss 4.9952 (4.7026)	
Epoch: [0][540/1445]	Time 0.320 (0.279)	Data 0.003 (0.004)	Loss 2.6431 (4.5778)	
Epoch: [0][570/1445]	Time 0.321 (0.281)	Data 0.004 (0.004)	Loss 68.2839 (4.5708)	
Epoch: [0][600/1445]	Time 0.324 (0.283)	Data 0.003 (0.004)	Loss 1.7896 (4.5622)	
Epoch: [0][630/1445]	Time 0.321 (0.285)	Data 0.004 (0.004)	Loss 1.8649 (4.6259)	
Epoch: [0][660/1445]	Time 0.322 (0.286)	Data 0.003 (0.004)	Loss 0.9610 (4.6650)	
Epoch: [0][690/1445]	Time 0.321 (0.288)	Data 0.003 (0.004)	Loss 1.0093 (4.6239)	
Epoch: [0][720/1445]	Time 0.321 (0.289)	Data 0.004 (0.004)	Loss 1.2976 (4.6071)	
Epoch: [0][750/1445]	Time 0.317 (0.291)	Data 0.004 (0.004)	Loss 1.6182 (4.7209)	
Epoch: [0][780/1445]	Time 0.325 (0.292)	Data 0.004 (0.004)	Loss 1.5062 (4.6670)	
Epoch: [0][810/1445]	Time 0.319 (0.293)	Data 0.003 (0.004)	Loss 1.4448 (4.7345)	
Epoch: [0][840/1445]	Time 0.325 (0.294)	Data 0.003 (0.004)	Loss 1.1431 (4.7681)	
Epoch: [0][870/1445]	Time 0.326 (0.295)	Data 0.003 (0.004)	Loss 1.2792 (4.6815)	
Epoch: [0][900/1445]	Time 0.322 (0.296)	Data 0.003 (0.004)	Loss 5.5176 (4.6523)	
Epoch: [0][930/1445]	Time 0.323 (0.297)	Data 0.004 (0.004)	Loss 1.0089 (4.6782)	
Epoch: [0][960/1445]	Time 0.326 (0.298)	Data 0.003 (0.004)	Loss 1.5460 (4.6589)	
Epoch: [0][990/1445]	Time 0.319 (0.298)	Data 0.003 (0.004)	Loss 0.9210 (4.6825)	
Epoch: [0][1020/1445]	Time 0.324 (0.299)	Data 0.004 (0.004)	Loss 24.8543 (4.7242)	
Epoch: [0][1050/1445]	Time 0.327 (0.300)	Data 0.005 (0.004)	Loss 4.1317 (4.6840)	
Epoch: [0][1080/1445]	Time 0.320 (0.300)	Data 0.004 (0.004)	Loss 7.0866 (4.6725)	
Epoch: [0][1110/1445]	Time 0.327 (0.301)	Data 0.003 (0.004)	Loss 4.4371 (4.7548)	
Epoch: [0][1140/1445]	Time 0.327 (0.302)	Data 0.003 (0.004)	Loss 3.6396 (4.8279)	
Epoch: [0][1170/1445]	Time 0.326 (0.302)	Data 0.003 (0.004)	Loss 2.4369 (4.8927)	
Epoch: [0][1200/1445]	Time 0.324 (0.303)	Data 0.004 (0.004)	Loss 1.2085 (4.8554)	
Epoch: [0][1230/1445]	Time 0.323 (0.303)	Data 0.004 (0.004)	Loss 1.5103 (4.8550)	
Epoch: [0][1260/1445]	Time 0.324 (0.304)	Data 0.004 (0.004)	Loss 0.8164 (4.7844)	
Epoch: [0][1290/1445]	Time 0.321 (0.304)	Data 0.003 (0.004)	Loss 2.9928 (4.8036)	
Epoch: [0][1320/1445]	Time 0.330 (0.305)	Data 0.003 (0.004)	Loss 3.6980 (4.7789)	
Epoch: [0][1350/1445]	Time 0.324 (0.305)	Data 0.004 (0.004)	Loss 6.2918 (4.7734)	
Epoch: [0][1380/1445]	Time 0.320 (0.305)	Data 0.004 (0.004)	Loss 2.7144 (4.8111)	
Epoch: [0][1410/1445]	Time 0.324 (0.306)	Data 0.004 (0.004)	Loss 14.5765 (4.8043)	
Epoch: [0][1440/1445]	Time 0.323 (0.306)	Data 0.004 (0.004)	Loss 1.1808 (4.8258)	
begin test
 * MAE 46.850 
 * best MAE 46.850 
epoch 1, processed 1445 samples, lr 0.0000001000
Epoch: [1][0/1445]	Time 0.452 (0.452)	Data 0.376 (0.376)	Loss 1.6683 (1.6683)	
Epoch: [1][30/1445]	Time 0.312 (0.314)	Data 0.004 (0.015)	Loss 2.2524 (5.6244)	
Epoch: [1][60/1445]	Time 0.314 (0.312)	Data 0.004 (0.010)	Loss 1.7048 (5.6740)	
Epoch: [1][90/1445]	Time 0.311 (0.312)	Data 0.003 (0.008)	Loss 7.6061 (5.7185)	
Epoch: [1][120/1445]	Time 0.317 (0.311)	Data 0.004 (0.007)	Loss 3.1399 (5.8293)	
Epoch: [1][150/1445]	Time 0.326 (0.308)	Data 0.003 (0.006)	Loss 3.8156 (6.2719)	
Epoch: [1][180/1445]	Time 0.324 (0.310)	Data 0.004 (0.006)	Loss 4.1343 (6.2509)	
Epoch: [1][210/1445]	Time 0.321 (0.312)	Data 0.003 (0.006)	Loss 2.6935 (5.8557)	
Epoch: [1][240/1445]	Time 0.320 (0.313)	Data 0.004 (0.005)	Loss 2.3562 (5.7804)	
Epoch: [1][270/1445]	Time 0.322 (0.314)	Data 0.003 (0.005)	Loss 8.7553 (5.4812)	
Epoch: [1][300/1445]	Time 0.317 (0.315)	Data 0.004 (0.005)	Loss 1.7880 (5.1492)	
Epoch: [1][330/1445]	Time 0.317 (0.316)	Data 0.004 (0.005)	Loss 14.6496 (4.9114)	
Epoch: [1][360/1445]	Time 0.326 (0.316)	Data 0.003 (0.005)	Loss 1.9679 (4.7401)	
Epoch: [1][390/1445]	Time 0.318 (0.317)	Data 0.004 (0.005)	Loss 5.7467 (4.7373)	
Epoch: [1][420/1445]	Time 0.321 (0.317)	Data 0.004 (0.005)	Loss 0.8805 (4.6769)	
Epoch: [1][450/1445]	Time 0.326 (0.318)	Data 0.003 (0.005)	Loss 1.5849 (4.9455)	
Epoch: [1][480/1445]	Time 0.327 (0.318)	Data 0.010 (0.005)	Loss 1.9135 (5.2892)	
Epoch: [1][510/1445]	Time 0.326 (0.318)	Data 0.004 (0.004)	Loss 2.6266 (5.1590)	
Epoch: [1][540/1445]	Time 0.325 (0.319)	Data 0.003 (0.004)	Loss 1.6971 (5.0867)	
Epoch: [1][570/1445]	Time 0.321 (0.319)	Data 0.004 (0.004)	Loss 4.7575 (5.0191)	
Epoch: [1][600/1445]	Time 0.320 (0.319)	Data 0.004 (0.004)	Loss 0.8678 (4.9658)	
Epoch: [1][630/1445]	Time 0.321 (0.319)	Data 0.003 (0.004)	Loss 2.0068 (5.1513)	
Epoch: [1][660/1445]	Time 0.319 (0.319)	Data 0.004 (0.004)	Loss 4.0063 (5.2591)	
Epoch: [1][690/1445]	Time 0.324 (0.319)	Data 0.003 (0.004)	Loss 11.9496 (5.2747)	
Epoch: [1][720/1445]	Time 0.325 (0.320)	Data 0.004 (0.004)	Loss 1.9272 (5.2868)	
Epoch: [1][750/1445]	Time 0.328 (0.320)	Data 0.004 (0.004)	Loss 1.2639 (5.3633)	
Epoch: [1][780/1445]	Time 0.322 (0.320)	Data 0.004 (0.004)	Loss 1.8889 (5.3555)	
Epoch: [1][810/1445]	Time 0.322 (0.320)	Data 0.004 (0.004)	Loss 5.1361 (5.3590)	
Epoch: [1][840/1445]	Time 0.324 (0.320)	Data 0.004 (0.004)	Loss 0.8998 (5.2660)	
Epoch: [1][870/1445]	Time 0.320 (0.320)	Data 0.003 (0.004)	Loss 7.8594 (5.2368)	
Epoch: [1][900/1445]	Time 0.325 (0.320)	Data 0.003 (0.004)	Loss 2.1015 (5.1768)	
Epoch: [1][930/1445]	Time 0.324 (0.320)	Data 0.004 (0.004)	Loss 2.7236 (5.1464)	
Epoch: [1][960/1445]	Time 0.320 (0.320)	Data 0.005 (0.004)	Loss 3.6505 (5.1023)	
