/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [0][0/1445]	Time 4.686 (4.686)	Data 0.167 (0.167)	Loss 1.9893 (1.9893)	
Epoch: [0][30/1445]	Time 0.312 (0.455)	Data 0.003 (0.009)	Loss 0.5785 (4.5051)	
Epoch: [0][60/1445]	Time 0.319 (0.388)	Data 0.003 (0.006)	Loss 2.1734 (5.5234)	
Epoch: [0][90/1445]	Time 0.317 (0.365)	Data 0.003 (0.005)	Loss 3.0979 (4.6969)	
Epoch: [0][120/1445]	Time 0.317 (0.353)	Data 0.004 (0.005)	Loss 1.0165 (4.6663)	
Epoch: [0][150/1445]	Time 0.321 (0.347)	Data 0.003 (0.005)	Loss 1.1246 (4.7033)	
Epoch: [0][180/1445]	Time 0.320 (0.342)	Data 0.003 (0.004)	Loss 1.9529 (4.4965)	
Epoch: [0][210/1445]	Time 0.320 (0.339)	Data 0.003 (0.004)	Loss 1.3067 (4.5519)	
Epoch: [0][240/1445]	Time 0.315 (0.337)	Data 0.003 (0.004)	Loss 4.3210 (4.5834)	
Epoch: [0][270/1445]	Time 0.324 (0.335)	Data 0.003 (0.004)	Loss 1.1319 (4.3657)	
Epoch: [0][300/1445]	Time 0.328 (0.334)	Data 0.004 (0.004)	Loss 1.3966 (4.3678)	
Epoch: [0][330/1445]	Time 0.316 (0.332)	Data 0.003 (0.004)	Loss 2.7904 (4.5240)	
Epoch: [0][360/1445]	Time 0.323 (0.331)	Data 0.005 (0.004)	Loss 2.6223 (4.3805)	
Epoch: [0][390/1445]	Time 0.327 (0.331)	Data 0.003 (0.004)	Loss 1.0077 (4.5765)	
Epoch: [0][420/1445]	Time 0.322 (0.330)	Data 0.006 (0.004)	Loss 2.0000 (4.6135)	
Epoch: [0][450/1445]	Time 0.322 (0.329)	Data 0.003 (0.004)	Loss 5.7670 (4.6360)	
Epoch: [0][480/1445]	Time 0.326 (0.329)	Data 0.003 (0.004)	Loss 3.2832 (4.5727)	
Epoch: [0][510/1445]	Time 0.333 (0.329)	Data 0.004 (0.004)	Loss 3.2128 (4.4576)	
Epoch: [0][540/1445]	Time 0.323 (0.328)	Data 0.004 (0.004)	Loss 12.7881 (4.5404)	
Epoch: [0][570/1445]	Time 0.320 (0.328)	Data 0.003 (0.004)	Loss 23.2049 (4.6696)	
